Step,Error-min-30,Error-min-60,Error-min-0,Clean
30,0.747864604,1.024182081,0.085195705,2.514716148
60,0.111046128,0.634155393,0.006486761,4.137794971
90,4.499810696,1.818962812,0.00282826,2.411760807
120,0.099190772,1.238548875,0.003307861,0.495982409
150,0.73970741,1.215571165,0.003917695,446.8933716
180,0.14296329,0.432608396,0.002778524,0.858758807
210,0.048849508,0.68576479,0.001437091,1.462530613
240,0.128607899,0.623470426,0.007440332,0.955891311
270,0.016307119,0.03049548,0.000605477,1.431937218
300,0.010403323,0.451592892,0.000657774,0.627138317
330,0.046514828,0.029631699,0.001016282,1.909983993
360,0.414683044,1.229769349,0.000114525,1.875984311
390,0.06018275,0.552929699,0.00014212,1.899952292
420,1.086227894,0.671352267,0.000129751,13.38491726
450,0.086955518,0.202774867,6.3679E-05,2.889006376
480,0.170638219,0.368016779,7.6105E-05,1.163300276
510,0.007675365,0.053307042,0.000166823,0.832111776
540,0.011537387,0.136258215,0.004225523,1.119877458
570,0.023019413,0.137512922,3.56901E-05,2.099925995
600,0.625971496,0.573886931,4.37133E-05,2.220332384
630,0.017867539,0.090843007,0.000117437,0.66002202
660,0.057526018,0.868252099,8.07667E-05,0.828113914
690,0.015425566,0.258931369,0.000433342,0.579218328
720,0.002256136,0.859040678,6.79182E-05,1.994756818
750,0.002561053,0.026901267,4.42174E-05,1.646536589
780,0.002810207,0.060771365,6.91348E-05,0.496973932
810,0.002011307,0.303235531,0.000181913,1.758975744
840,0.005285408,0.089129269,0.00011974,0.305981308
870,0.004648165,1.008083105,2.55639E-05,1.731321812
900,0.853416562,0.005654838,3.35038E-05,2.111631393
930,0.019647667,0.028308529,0.000115566,0.195538208
960,0.012952594,0.007792278,4.79613E-05,6.743240833
990,0.002604518,0.097060367,6.10496E-05,0.299944282
1020,0.001409386,0.165327653,3.84633E-05,0.230225891
1050,0.000792478,0.029600615,0.000990423,1.562511802
1080,0.002897692,1.404392958,0.001365527,1.003197432
1110,0.017254375,0.03338898,4.82549E-05,0.176527396
1140,0.002670988,0.020169765,7.80955E-05,0.096246682
1170,0.017956886,0.014546699,4.37823E-05,0.072893046
1200,0.002202814,0.014591411,0.000557792,1.677895308
1230,,0.094660103,3.5952E-05,0.098626532
1260,,0.003209737,2.4897E-05,0.176663473
1290,,0.003441675,0.000182629,0.682946205
1320,,0.027599433,3.7446E-05,0.058836605
1350,,0.003827787,0.000145292,0.77944243
1380,,0.182933986,3.45023E-05,0.132075578
1410,,0.228375331,0.000287882,0.714220345
1440,,0.050977424,2.61234E-05,1.381188631
1470,,0.014685591,2.62009E-05,0.024965217
1500,,0.009858264,4.11033E-05,0.034158323
1530,,1.453025699,8.24256E-05,0.745393872
1560,,1.595033288,1.13089E-05,0.495225042
1590,,1.252024412,4.80812E-05,0.018797075
1620,,0.005597322,3.81946E-05,0.036060099
1650,,0.005620618,4.9425E-05,0.048963491
1680,,0.004482417,3.56697E-05,0.02940228
1710,,0.041952543,1.11545E-05,2.462793112
1740,,0.003965517,1.28794E-05,1.296379566
1770,,0.0010029,1.81964E-05,0.068720914
1800,,0.005318756,0.000512298,0.063470073
1830,,0.009320717,5.77495E-05,1.891519308
1860,,0.001620605,1.53595E-05,0.016657025
1890,,0.00252559,3.0273E-05,0.02266651
1920,,0.001001381,7.15496E-05,0.022838453
1950,,0.002057247,2.77735E-05,0.07891392
1980,,1.037101746,2.25179E-05,0.033012543
2010,,0.22768569,1.02802E-05,0.045609277
2040,,0.000925871,1.81059E-05,0.0128798
2070,,,9.07144E-06,0.004092738
2100,,,1.2908E-05,0.089735329
2130,,,7.37581E-06,0.007067775
2160,,,2.52932E-05,0.659556627
2190,,,9.89429E-06,0.031914428
2220,,,3.08286E-05,0.221958786
2250,,,1.58233E-05,0.006473619
2280,,,0.000135158,0.013990161
2310,,,3.09131E-05,0.007970898
2340,,,4.66522E-05,0.004654748
2370,,,1.47337E-05,0.002456063
2400,,,2.06354E-05,0.003075167
2430,,,0.000195246,
2460,,,1.51443E-05,
2490,,,8.67262E-06,
2520,,,1.46624E-05,
2550,,,5.52873E-06,
2580,,,1.07848E-05,
2610,,,1.45971E-05,
2640,,,8.47966E-06,
2670,,,1.63671E-05,
2700,,,2.46574E-05,
2730,,,5.46665E-05,
2760,,,1.37533E-05,
2790,,,3.30526E-05,
